Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a58_gac-miR-214a-3p	14652	1105	1308	7209	5005	3524	1790	8386	9919	1600	2938	8852	7702	7734	7109	5627	14956	7049	3926
a27_gac-miR-212b-5p	4	0	1	4	0	0	74	21	0	0	0	0	0	16	0	0	20	0	2
a26_gac-miR-212a-5p	29	17	25	131	71	95	4	23	84	11	39	73	44	107	17	104	146	0	56
a38_gac-miR-210-5p	3365	2201	2654	3732	2368	1938	577	5782	5183	1015	2037	2374	2227	2124	1191	3605	4388	3210	2266
a94_gac-miR-210-3p	477	753	573	1081	15	733	326	273	394	223	683	250	379	203	143	540	563	387	212
a52_gac-miR-21-5p	202333	181408	212867	284965	85032	277075	54787	404544	346689	99862	157103	117849	133790	157583	148233	227448	329855	366226	131629
a126_gac-miR-20a-5p	506	338	358	751	90	1094	146	128	481	180	400	197	125	92	64	281	263	215	105
a203_gac-miR-206-1-3p	28243	271	1100	16496	46479	6011	9623	1487	3082	2571	2566	33001	14571	91455	2536	120134	92268	30863	20393
a240_gac-miR-205-1a-3p	11	37	30	296	0	60	38	1453	86	61	63	8	51	88	29	40	148	288	49
a178_gac-miR-205-1-5p	5101	3010	6146	53536	1100	3475	3150	198196	25002	10425	20050	2657	4607	8402	3558	11247	29948	55127	5353
a101_gac-miR-204-2b-3p	9	0	1	0	0	0	0	0	119	0	0	16	30	10	13	10	26	34	25
a233_gac-miR-204-1/2b-5p	12851	852	1334	19391	9042	5373	916	5383	21285	826	3258	1166	3456	5338	2717	11975	13166	10405	9844
a234_gac-miR-202-5p	324	49	11	14	0	83	0	23	152	23	17	0	2	48	4	22	31	0	43
a67_gac-miR-200b-5p	5	15	26	25	0	13	11	826	102	9	20	0	0	22	1	12	2	44	10
a133_gac-miR-200b-3p	1975	3413	9175	23478	441	2254	3774	145057	12821	4707	6678	1260	1007	5325	2027	2244	4776	31823	2417
a128_gac-miR-200a-3p	140	574	1367	3571	26	133	290	26961	1433	1034	1155	81	84	905	211	276	607	2043	358
