Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a42_gac-miR-27a-5p	2.07721039722599	203.282838084119	137.237961818454	45.7727904679375	216.382580388444	0	212.535480357836	189.662936916388	899.750968544396
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	0	69.6563571057472	59.6686790515017	84.713821164541	0	67.6107976582309	28.2682658604019	28.4494405374582	54.370916227829
a229_gac-miR-27a-3p	1163.23782244655	878.523034517383	523.379556251744	707.087136333064	508.872137327306	202.832392974693	555.942561921237	840.352705106456	766.454528760041
a74_gac-miR-26b-3p	1038.60519861299	204.7043963924	387.846413834761	373.697259491967	613.3326933769	288.882499085168	566.412290017682	56.1694082406225	372.996177993063
a73_gac-miR-26a-1b-3p	0	359.65425199498	299.195804958244	124.338027838278	277.566620360349	444.080011891562	374.816265852736	91.9135771210186	220.991465958273
a226_gac-miR-26-5p	132345.306038459	185291.596134521	233828.767057324	177377.077999006	163252.449287963	142021.090308227	196448.743137648	164501.230443092	182303.343577879
a197_gac-miR-24-6-5p	51.9302599306497	107.327652275182	74.1596439640093	163.279058534882	0	139.831422429523	164.374731114189	252.397600665654	99.9723298382662
a206_gac-miR-24-3p	2928.86666008864	4573.86385689268	4222.83765744485	2904.8642547712	1456.47861006291	2930.31343486923	3695.81401804513	2512.30444130784	6161.45253897946
a199_gac-miR-24-2-5p	1024.06472583241	834.454726960686	431.319308572284	315.627301435629	987.898401497586	316.541461763536	688.90810874609	417.258461216053	598.664712013945
a119_gac-miR-23b-2-5p	1834.17678075055	102.3521981962	133.828323015511	125.704379792545	255.182215492579	633.082923527071	190.549051355302	231.242888471134	292.316753913059
a50_gac-miR-23b-2-3p	7459.26253643853	4089.82325292316	4126.51536126171	3482.14795544892	1425.14044324803	3485.02929747427	4874.70540170486	5158.10241129145	6294.74897876381
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	537.997492881531	106.616873121042	58.816269350766	104.52592450141	0	268.906581595237	72.2411238654715	64.9230822521481	63.1404188452207
a51_gac-miR-23a-3p	123413.301330388	113670.64544673	102255.92010996	40920.191502359	43451.1144356574	47465.8531741535	87323.8141612103	60303.3307925655	97764.1690792069
a114_gac-miR-23a-3-5p	681.325010290125	288.576336580953	338.406651192088	222.715368545487	316.366255464484	874.330542443941	330.843407847666	428.20055373046	733.715052321778
a112_gac-miR-23a-2-5p	0	309.899711205161	269.361465432494	252.775111539356	231.305516966957	471.738974569929	580.022936543061	102.855669635426	513.308219871332
a118_gac-miR-23a-1-5p	0	53.3084365605208	68.1927760588591	60.8026619648722	0	30.7321807537413	207.300616309614	89.7251586181372	71.9099214626125
a79_gac-miR-22b-5p	5149.40457472323	1454.96492852515	2335.60258001593	1468.8283508368	1693.75330166127	3569.54279454705	2189.22014496668	1343.68896076918	2793.96353390102
a14_gac-miR-22b-3p	292.886666008864	176.273230226789	160.253023738319	92.2287569130084	173.106064310755	164.417167032516	58.6304773400928	229.054469968253	150.250811511312
a45_gac-miR-22a-5p	4000.70722505726	1554.47401010479	1882.12061922451	2203.2425262552	537.225716826482	5780.72319977874	2123.26085795907	1947.69246756444	4450.81489508024
a13_gac-miR-22a-3p	104288.425203128	93579.7618758006	92857.2507496478	64099.669230518	134715.317668872	89741.041019	97523.4232727672	124612.926391072	135778.793658585
a219_gac-miR-223-5p	874.505577232142	2514.7366473483	2723.44899385069	548.590309638117	1513.18576906126	1299.97124588326	1115.02604227141	441.331064747748	566.509869083508
a173_gac-miR-223-3p	35410.2056415114	75237.3950240566	62337.5738245054	22573.5006364417	33260.2410461906	64608.2635985904	34022.4284222081	11903.5377100062	28285.1537421354
a201_gac-miR-222c-5p	390.515554678486	103.06297735034	72.4548245625378	230.913480271088	189.52129454712	0	115.167009060897	220.300795956727	61.3865183217424
a200_gac-miR-222a-5p	369.743450706226	228.160108479029	105.698802891232	669.512457590728	161.167715047944	0	336.078271895889	970.198869610752	301.670890038277
a39_gac-miR-222-3p	7421.87274928846	6516.42328515806	4048.09366879403	7722.6212455159	6425.81649070786	6845.59326289588	7016.81177023753	14118.9467077565	10399.460837211
a25_gac-miR-221a-5p	0	31.9850619363125	18.7530134161863	0	0	141.36803146721	28.2682658604019	16.7778751887574	10.5234031408701
a40_gac-miR-221-3p	8304.68716810951	4264.67492484166	2976.6146749692	4517.84273678314	2468.25371008611	7661.53266190771	3025.75141987265	7168.52954260516	5269.88643954463
a77_gac-miR-21a-3p	334.430873953384	122.254014512128	53.7018111463516	127.070731746812	0	0	15.7045921446677	160.484023544636	11.1080366486962
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	0	18.4802580076472	0.852409700735739	13.6635195426679	0	0	31.4091842893354	0	16.3697382191313
a239_gac-miR-218a-2-5p	0	378.134510002628	480.759071214957	549.27348561525	658.10150311244	0	1021.84546221305	1232.80908995652	576.448638716552
a15_gac-miR-2188-5p	24056.1736102742	18506.5568363504	16381.6096287394	30385.617934962	12089.0709222537	47173.8974569929	30116.1728694244	11164.5817288666	34198.7216737966
a108_gac-miR-2188-3p	59696.9496058777	37485.0710310499	66442.7789432487	47240.9356427972	123852.912133372	41927.9142023293	72658.8660165196	29748.6316553354	86175.5636870776
a5_gac-miR-2184-5p	0	213.233746242083	180.710856555977	373.014083514834	459.626446618212	0	151.811057398455	304.919644734808	361.303507836541
a142_gac-miR-217a-5p	342.739715542288	7.10779154140277	17.0481940147148	13.6635195426679	80.5838575239722	0	16.7515649543122	37.9325873832775	43.8475130869588
a135_gac-miR-216b-5p	0	0	0	17.7625754054683	0	0	0	42.3094243890403	14.0312041878268
a58_gac-miR-214a-3p	9274.74442361404	2892.16037819679	2571.72006711973	12694.7760070928	3906.8247962548	4622.11998536269	4598.30457995871	18009.2253330453	17900.3087426201
a26_gac-miR-212a-5p	0	49.0437616356791	57.1114499492945	6.83175977133395	0	3.07321807537413	83.7578247715611	17.5073480230512	102.895497377397
a38_gac-miR-210-5p	1065.60893377693	3022.23296340446	2564.90078951384	2638.42562368917	1754.93734163317	2630.67467252026	2508.54685190826	3429.98126684944	2923.16753913059
a94_gac-miR-210-3p	307.427138789446	1075.40886021424	455.186780192885	1060.97229248816	214.890286730593	122.928723014965	398.89664047456	783.45382403154	309.855759147843
a52_gac-miR-21-5p	222733.039263351	278581.360115432	236216.366629085	216901.540980082	239566.854656822	161760.370006355	207867.028599631	270605.242609628	293022.406557005
a56_gac-miR-20b-5p	423.750921034102	8.52934984968333	0	0	0	0	0	26.9904948688706	0
a126_gac-miR-20a-5p	0	781.146290400165	373.355448922254	692.05726483613	105.952849707445	428.713921514691	294.199359510108	182.36820857345	127.450104706094
a203_gac-miR-206-1-3p	8983.9349680024	1725.77178625259	20891.7093553322	54319.3219418763	7627.11288527819	5474.93800127902	772.665933517651	1054.08824555454	103777.124707199
a240_gac-miR-205-1a-3p	0	181.959463459911	131.271093913304	18.4457513826017	0	189.002911635509	96.3214984872953	27.7199677031644	38.5858115165238
a178_gac-miR-205-1-5p	9515.70082969226	28819.9623629258	15057.8173634968	4014.34204163583	3499.42862766139	16730.5992023368	20859.8862593573	2347.44358075744	4766.51698930634
a101_gac-miR-204-2b-3p	0	4.26467492484166	0	0	0	0	12.5636737157342	0	16.9543717269574
a233_gac-miR-204-1/2b-5p	1813.40467677829	1732.16879863986	2324.52125390636	7038.07891642824	2278.73241553899	9135.14072904961	7849.15515390492	1292.62586236861	9727.13230321095
a234_gac-miR-202-5p	1057.30009218803	19.9018163159278	25.5722910220722	0	0	0	248.13255588575	0	4.67706806260894
a67_gac-miR-200b-5p	0	78.8964861095708	61.3734984529732	0	0	0	46.0668036243586	0	28.0624083756537
a133_gac-miR-200b-3p	8225.75317301492	28104.2077547066	16806.1096597058	1863.02088964277	4169.46848003664	12549.4860107903	11718.766658351	2119.11858362349	2256.68534020882
a128_gac-miR-200a-3p	727.023639029096	5292.4615817285	2441.30138290716	294.448846144493	637.209391902521	797.500090559587	1820.68571597181	126.198800332827	322.717696320017
a220_gac-miR-19b-3p	1053.14567139358	862.175113972156	694.713906099627	577.283700677719	0	1127.87103366231	308.856978845132	253.856546334242	132.127172768703
a157_gac-miR-19b-2-5p	0	66.8132404891861	103.99398348976	68.3175977133396	252.197628176876	285.809281009794	94.2275528680063	90.454631452431	26.8931413600014
a106_gac-miR-19a-1-5p	0	0	0	32.792446902403	0	0	0	35.0146960461023	0
a222_gac-miR-19a-1-3p	0	176.273230226789	159.400614037583	150.98189094648	0	239.711009879182	92.1336072487172	64.9230822521481	68.4021204156558
a72_gac-miR-199-5p	7774.99851681688	9478.2400204606	5634.42812186324	14554.3810168499	8209.10741184021	6490.63657519017	8056.45577021454	25732.1542297138	26400.8799464118
a20_gac-miR-199-3p	24122.6443429854	21225.287100937	35947.8218994276	32878.5270755218	19878.8438162377	20894.8096944687	25669.6793468642	52332.3811322371	55085.3383743925
a153_gac-miR-196d-5p	0	9.2401290038236	59.6686790515017	41.6737346051371	0	0	28.2682658604019	0	175.390052347835
a69_gac-miR-196d-3p	0	31.9850619363125	105.698802891232	133.902491518145	177.582945284309	319.61467983891	110.979117822318	0	486.41507851133
