		B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
nomCol	Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-18a-3p	miR-18a-3p	107	21	0	0	0	277	60	61	15	43	0	0	0	0	0	0	69	75	0
miR-184-3p	miR-184-3p	358	292	129	65	26	24362	57666	1357	20	1397	710	385	733	143	14	677	871	31926	48980
miR-183-5p	miR-183-5p	194	150	391	32	35	5044	43318	424	38	237	167	78	21	256	16	419	525	7440	11106
miR-182b-5p	miR-182b-5p	0	9	33	33	19	2	141	35	8	13	0	25	9	58	0	64	110	138	1
miR-182a-5p_gac-miR-182b-5p	miR-182a-5p_gac-miR-182b-5p	4	1	0	0	5	420	8994	52	2	23	3	3	3	16	7	20	30	1151	1497
miR-182a-5p	miR-182a-5p	22	17	102	0	0	7521	18901	32	12	54	44	7	5	90	6	119	306	7316	12627
miR-181b-2/3-5p_gac-miR-181c-5p	miR-181b-2/3-5p_gac-miR-181c-5p	817	197	206	814	328	1405	6102	1234	111	469	181	837	813	2333	231	2796	1917	1773	3172
miR-181b-1-5p	miR-181b-1-5p	350	80	89	46	52	145	79	131	51	205	94	198	160	350	60	346	343	153	86
miR-181a-5p	miR-181a-5p	7169	1470	2420	4787	1490	2883	6357	3472	1701	5255	1970	2935	4027	14028	1119	9875	8665	4525	8493
miR-181a-3-3p	miR-181a-3-3p	344	153	480	0	0	124	356	395	64	709	278	0	0	0	0	0	826	348	383
miR-181a-2-3p_gac-miR-181a-3-3p	miR-181a-2-3p_gac-miR-181a-3-3p	64	6	18	3642	1240	277	325	150	0	64	6	2965	2588	5579	659	7807	159	329	649
miR-181a-2-3p	miR-181a-2-3p	1757	297	923	0	0	5171	6761	1856	137	1689	463	0	0	0	0	0	4511	4523	10334
miR-181a-1-3p	miR-181a-1-3p	169	91	350	0	15	495	332	119	56	230	180	74	110	240	53	343	371	574	1043
miR-17a-5p	miR-17a-5p	9	10	0	15	78	74	0	0	30	33	0	12	68	283	81	61	0	161	36
miR-16c-5p	miR-16c-5p	25529	10028	8677	32797	15423	30862	22198	13807	8391	39682	4641	27173	34066	90473	11603	85429	52505	47138	44908
miR-16a-5p_gac-miR-16c-5p	miR-16a-5p_gac-miR-16c-5p	1855	586	483	1839	1406	963	1091	865	1017	2448	268	2063	2856	6614	911	5458	2224	1445	2280
miR-16a-5p	miR-16a-5p	1435	540	696	388	288	654	1897	589	1013	2255	306	793	663	1652	171	1275	1267	1551	779
miR-15c-5p	miR-15c-5p	61122	19222	16827	27583	11196	24766	23997	9194	18807	44306	5034	16421	21208	81054	10401	36151	33401	34820	37095
miR-15c-3p	miR-15c-3p	15	1	7	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0
miR-15b-1-5p	miR-15b-1-5p	216	31	54	46	128	185	20	65	148	90	14	179	135	722	235	332	45	64	0
miR-15a-2-5p	miR-15a-2-5p	5950	2139	2316	10815	6490	1653	5139	4441	3857	6704	1298	7971	10193	35517	9613	38356	2746	3156	2820
miR-155-5p	miR-155-5p	196	87	151	1496	950	1512	3821	842	75	208	164	1032	1646	3079	297	2378	5504	2871	9813
miR-152a-5p	miR-152a-5p	385	20	109	54	37	755	908	782	32	186	80	104	200	596	13	317	669	818	1166
miR-152a-3p	miR-152a-3p	181	52	69	196	35	56	120	155	82	330	88	83	195	408	38	585	413	58	112
