Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-196d-5p	8	0	3	9	22	2	1	0	0	0	2	11	22	86	0	111
miR-196d-3p	8	0	0	17	0	0	5	0	8	18	14	55	10	132	0	47
miR-196a-5p	196	60	328	30	21	124	44	0	41	157	73	55	109	470	4	236
miR-194a-5p	1	43	117	11	28	2	0	0	24	0	18	122	66	136	49	203
miR-193a-2-5p	203	1	263	40	0	61	6	34	0	191	92	44	113	1819	12	359
miR-191-5p	5328	25999	29744	2148	2676	2380	3198	1877	2311	5170	2000	7577	5033	12055	1286	15870
miR-18c-5p	31	92	379	53	0	0	1	0	0	0	14	50	28	77	25	131
miR-18a/b-5p	0	352	179	0	1	2	1	0	0	71	4	21	4	60	17	29
miR-184-3p	268	1740	453	77	75	134	114	2	24	65	26	385	733	143	14	677
miR-183-5p	7	651	190	57	26	91	59	10	128	32	35	78	21	256	16	419
miR-182b-5p	18	102	0	11	5	45	0	0	9	33	19	25	9	58	0	64
miR-182a-5p_gac-miR-182b-5p	0	9	121	1	2	0	0	0	0	0	5	3	3	16	7	20
miR-182a-5p	0	333	258	11	0	61	35	0	2	0	0	7	5	90	6	119
miR-181b-3-3p	0	40	0	0	0	0	0	0	0	15	6	0	2	25	0	8
miR-181b-2/3-5p_gac-miR-181c-5p	474	1729	3321	249	207	298	461	32	312	814	328	837	813	2333	231	2796
miR-181b-1-5p	105	615	875	14	109	142	116	0	59	46	52	198	160	350	60	346
miR-181a-5p	1252	9553	12339	515	732	1336	1426	389	1926	4787	1490	2935	4027	14028	1119	9875
miR-181a-2-3p_gac-miR-181a-3-3p	1263	17138	14701	1355	897	1572	1883	960	1077	3642	1240	2965	2588	5579	659	7807
miR-181a-1-3p	101	334	115	3	0	0	14	17	3	0	15	74	110	240	53	343
miR-17a-5p	1	468	772	25	51	31	0	0	3	15	78	12	68	283	81	61
miR-16c-5p	7478	151759	117727	8904	19634	2756	24455	6852	10408	32797	15423	27173	34066	90473	11603	85429
miR-16a-5p_gac-miR-16c-5p	617	14135	8177	699	1284	532	1111	234	1226	1839	1406	2063	2856	6614	911	5458
