;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-182a-5p_gac-miR-182b-5p;1392.85533035954;1.48807510353122;1.38534301872615;1.0741564243775;0.282752578989462;0.924740826013477
miR-181a-1-3p;434.341104123919;-0.731569570803162;0.859052808134966;-0.85160023211079;0.394436010738886;0.924740826013477
miR-16a-5p_gac-miR-16c-5p;1366.35798161051;-0.653509568211816;0.648694695715807;-1.00742240152079;0.313731830655263;0.924740826013477
miR-15c-5p;24774.3777894144;-0.61419039027523;0.605819380601186;-1.01381766569722;0.310669764195796;0.924740826013477
miR-15b-1-5p;72.702599338716;1.71040195581743;1.91933316817851;0.891143853591942;0.372852001057053;0.924740826013477
miR-15a-2-5p;3282.90096471411;0.698070836232641;0.712993959881423;0.979069775498149;0.327545504420791;0.924740826013477
miR-150-5p;23411.1785287882;-1.03179825622237;0.880989980256373;-1.17118046668602;0.241526245091253;0.924740826013477
miR-144-5p;703.866951945144;0.844051761253803;0.977843406156021;0.863176819458073;0.388040256611924;0.924740826013477
miR-142-5p;844.120489040919;0.811886142649908;0.922934856478686;0.879678708579209;0.379033386698927;0.924740826013477
miR-100-2-5p;46684.0814781633;0.689076245117295;0.615544309656715;1.11945839528853;0.262944630596726;0.924740826013477
let-7j-5p;4030.38511366432;0.642211191456307;0.703738914401437;0.912570242051396;0.361468611034384;0.924740826013477
let-7h-1-3p;272.456748120067;-0.706281022324297;0.837587963243893;-0.843232058384582;0.399098672279501;0.924740826013477
let-7f-5p;18229.3836301752;0.606305704738684;0.63184647889092;0.959577563529248;0.337267865538172;0.924740826013477
let-7d-5p;43986.1414987105;0.765373387983575;0.688553179139529;1.11156757556482;0.266324120204499;0.924740826013477
let-7b-5p;171286.917728668;0.568464495651922;0.591877577133349;0.960442695608061;0.336832458589473;0.924740826013477
let-7a-5p_gac-let-7c-2-5p;1273.81141521968;0.765593163843712;0.71645280318305;1.06858841286173;0.285255172003282;0.924740826013477
let-7a-5p;594686.186052841;0.517387422383809;0.581397319164062;0.889903350651347;0.373517784638359;0.924740826013477
miR-181a-5p;5173.84976938924;-0.500048291320712;0.604297498929187;-0.827486945100377;0.407961118528904;0.93388689783725
miR-26-5p;34914.5001358396;-0.454195406407239;0.558251989137496;-0.813602844674095;0.41587250772917;0.940664005577885
miR-99a-5p;2267.9717034772;0.455545414889129;0.591173332679631;0.77057842380045;0.440956854171678;0.966243378863126
miR-92a-3p;198516.701574533;-0.224635974943701;0.612984085296885;-0.366462980576248;0.714019631418817;0.966243378863126
miR-92a-1-5p;624.439155546788;0.164350367323849;0.685416817251373;0.239781638248853;0.810499542324592;0.966243378863126
miR-733-1-5p;71.204423107104;-0.26814661047076;2.38021649903243;-0.112656395155551;0.910302972718418;0.966243378863126
miR-727b-3p;180.406982100801;-0.240665617386071;1.07413900685364;-0.224054443466332;0.822714940146756;0.966243378863126
miR-722-3p;111.428074875071;-0.928558553048916;1.6438507584392;-0.564867916556223;0.572163607505942;0.966243378863126
miR-7132a-5p_gac-miR-7132b-5p;229.715560737829;-0.592215179204944;1.40749985863385;-0.420756830327332;0.67393265787602;0.966243378863126
miR-7132a-5p;178.36497662346;-0.809716585314033;1.19573272020433;-0.67717188936309;0.498296901040676;0.966243378863126
miR-551a-3p;81.3253684239953;0.400928332775316;1.85795565831812;0.215790043739929;0.829151409436174;0.966243378863126
miR-460-5p;62.2161096260424;1.4221600426358;2.44049458535155;0.58273435686846;0.560072140906474;0.966243378863126
miR-458-3p;74.3381408933329;-0.454839510536296;1.50314074307431;-0.302592762941168;0.762200230403641;0.966243378863126
miR-456-3p;114.418585331688;0.238274048100936;1.34705105638842;0.176885684451911;0.859598183460967;0.966243378863126
miR-455-5p;97.4339859633552;-0.620962352755039;1.51053433626303;-0.411087876553181;0.681008099305738;0.966243378863126
miR-454b-3p;61.0085105531649;-0.936657586180282;2.34972988763568;-0.398623514604378;0.690170632556187;0.966243378863126
miR-429a-3p;830.227733408213;-0.433287317067788;1.66347280285696;-0.260471536609214;0.794500068249186;0.966243378863126
miR-425-5p;82932.2317870211;-0.188040696411893;0.716480139721831;-0.26245067516442;0.792974008300009;0.966243378863126
miR-31a-5p;269.606518904816;0.48176459956252;1.17104223295862;0.411398142614678;0.680780615641598;0.966243378863126
