		B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
nomCol	Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-301b-5p	miR-301b-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	1	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-29b-1a/2a-3p	miR-29b-1a/2a-3p	20	0	32	13	9	0	43	141	0	147	156	7	278	0	32	178	209	7	18	16	30	49	5	0	25	54	13	53	18	0	104	51	78	97	19	11	46	24	41	48	5	0	0	32	11	58	1	31
miR-29a-3p_gac-miR-29b-1a/2a-3p	miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	57	26	0	4	6	0	0	5	0	0	0	0	0	0	0	0	0
miR-29a-3p	miR-29a-3p	149	25	34	31	16	87	0	155	0	0	0	0	0	0	1	799	658	10	65	44	10	70	193	45	79	266	96	75	39	37	98	8	0	0	0	0	0	0	0	0	80	76	118	161	113	407	98	357
miR-27e-3p	miR-27e-3p	633	721	802	265	258	4488	652	1516	751	1028	2782	1858	1196	224	533	1485	2125	70	360	110	35	149	2872	1488	2301	5321	126	523	292	601	948	1363	1013	591	876	1202	963	1745	878	2249	409	5	68	648	809	4805	85	1687
miR-27c-1-5p	miR-27c-1-5p	369	301	577	231	576	933	0	0	0	0	0	0	0	0	69	386	849	28	79	116	46	30	544	378	531	743	146	953	230	0	0	0	0	0	0	0	0	0	0	0	110	127	14	290	160	534	43	709
miR-27c-1-3p	miR-27c-1-3p	5459	2331	3245	1062	2032	5015	698	1795	1075	3206	3792	912	6126	871	414	5824	6436	226	1366	993	331	199	5233	2529	4877	6460	2012	5443	1314	1424	702	1024	1254	1496	1607	1800	706	1692	1186	2300	924	214	637	2404	2734	6091	505	4503
miR-27b-5p	miR-27b-5p	58	69	35	13	52	294	56	328	19	249	348	587	9	8	18	182	70	4	1	33	2	0	239	105	60	334	14	94	8	91	245	482	284	69	119	129	0	162	97	80	44	0	93	94	59	217	6	300
miR-27b-3p	miR-27b-3p	1586	1586	2292	522	1049	6628	999	3672	839	9796	9896	6788	4427	934	879	2532	6669	340	2034	556	410	1038	6806	2738	5756	7893	502	1483	489	891	845	3290	4457	3772	2392	3962	2525	3911	2019	4844	853	81	973	1928	1577	8646	308	5513
miR-27a-5p	miR-27a-5p	52	74	29	21	31	64	101	36	31	35	43	44	42	0	10	3	188	9	0	11	3	0	39	39	56	111	5	151	53	0	191	226	17	0	25	64	0	28	41	51	57	0	7	58	48	226	28	278
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	23	12	0	8	5	77	15	69	1	51	43	0	0	10	48	24	188	4	0	20	0	30	53	48	29	63	20	14	2	83	0	88	38	0	22	26	0	5	19	64	8	4	6	34	52	146	18	226
miR-27a-3p	miR-27a-3p	85	62	56	68	35	136	56	582	337	703	249	4	152	0	21	130	497	13	0	11	6	9	96	74	91	352	40	228	84	12	126	449	164	25	120	117	48	59	110	246	0	7	187	34	92	310	28	508
miR-26b-3p	miR-26b-3p	52	19	81	17	35	51	89	196	49	166	121	285	58	65	91	22	16	9	0	44	70	0	140	126	187	319	34	0	1	0	268	248	15	27	58	71	73	19	41	30	0	87	62	101	36	199	40	82
miR-26-5p	miR-26-5p	61036	25088	43621	9583	13135	77661	31833	43878	14846	159794	191704	74712	138603	23779	7709	54920	46899	3038	20497	13607	6763	4688	96437	41988	94771	145547	15037	29756	5361	40973	41198	62794	60751	76358	44026	49775	30509	55321	40906	59782	9818	3772	7628	20239	23655	95006	8194	66579
miR-24-6-5p	miR-24-6-5p	20	5	14	2	4	10	0	0	0	8	15	0	72	0	0	0	0	0	0	0	0	0	0	13	23	37	2	129	18	0	0	0	13	0	3	21	0	0	6	0	0	0	0	0	0	0	0	0
miR-24-4a-5p	miR-24-4a-5p	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-24-3p	miR-24-3p	2075	1195	1152	500	253	3209	601	1954	1600	3732	2286	1106	3218	373	160	2151	2260	107	153	195	153	109	2033	920	1781	2351	756	2156	335	888	513	845	1949	679	1206	1373	1835	1107	956	1181	229	209	414	535	854	1583	153	1535
miR-24-2-5p	miR-24-2-5p	497	456	411	129	285	741	66	122	0	181	91	16	318	21	69	226	527	10	386	106	25	8	390	212	454	665	110	454	117	90	205	215	115	76	141	134	27	110	162	77	120	7	127	201	318	585	46	488
miR-23b-2-5p	miR-23b-2-5p	29	148	52	17	39	302	84	64	41	110	46	273	9	70	115	422	1009	22	257	89	8	117	224	75	81	231	6	173	24	112	22	362	253	0	78	142	254	83	170	126	19	13	4	302	189	173	46	797
miR-23b-2-3p	miR-23b-2-3p	1598	932	1223	327	313	3876	1204	996	956	6422	4576	3373	2192	1133	447	2286	2854	75	529	256	80	397	3741	1663	3029	6523	316	775	82	1144	752	3204	2765	1686	1415	3290	1553	1856	2127	2502	213	36	533	700	862	3802	114	2143
miR-23a-3p_gac-miR-23b-2-3p	miR-23a-3p_gac-miR-23b-2-3p	139	24	29	11	33	181	0	0	0	37	20	0	4	2	25	53	0	13	52	37	9	26	156	33	90	162	30	55	13	0	0	0	12	35	5	33	7	16	16	11	15	0	92	12	76	125	72	242
