Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a183_gac-miR-146a-5p	10778	73128	47580	60768	37964	17306	15515	13237	15192	9754	40792	24951	22793	39473
a53_gac-miR-146a-3p	1107	797	824	1044	324	414	390	566	327	156	725	575	721	473
a121_gac-miR-145-5p	1793	5218	5226	5694	1200	2672	6666	2246	1821	1890	5626	5075	3107	2019
a113_gac-miR-145-3p	140	4043	5355	2065	2874	1415	4019	1499	1517	1627	3549	2730	3100	2679
a48_gac-miR-144-5p	1668	11437	11311	56815	17416	8745	3407	5218	3344	1776	5155	4330	21062	3323
a80_gac-miR-144-3p	503	1160	810	6405	928	667	208	175	210	111	137	222	344	141
a120_gac-miR-143-5p	0	60	82	40	0	46	38	16	1	0	41	90	111	31
a55_gac-miR-143-3p	9464	54550	68857	121726	112070	23691	47936	17451	18360	21069	84307	68504	35801	43884
a66_gac-miR-142-5p	407	3156	880	3078	1230	741	136	128	160	378	454	311	308	262
a218_gac-miR-142-3p	590	1264	677	1268	136	490	82	98	53	156	169	222	228	127
a65_gac-miR-140-5p	65	387	342	652	0	185	60	132	39	68	151	248	289	51
a139_gac-miR-140-3p	3460	15812	6759	14454	5828	9831	4520	5366	6377	2922	7542	14542	10719	3222
a180_gac-miR-139-5p	1180	1863	1747	2174	601	933	1025	1471	1137	1458	1052	1728	2005	807
a54_gac-miR-1388-3p	143	2086	1124	1598	1516	1074	289	647	179	400	1473	1015	423	635
a160_gac-miR-135c-5p	0	32	18	77	0	49	15	20	16	1	20	22	67	24
a162_gac-miR-135b-5p	0	9	20	30	0	5	15	0	6	0	2	14	0	0
a161_gac-miR-135a-1-5p	0	3	11	0	0	4	14	0	0	0	9	53	0	0
a246_gac-miR-133b-3p	0	9	12	137	0	4	7	19	238	0	436	512	57	30
a41_gac-miR-133a-5p	0	17	69	171	0	40	41	41	261	4	187	424	102	23
a245_gac-miR-133a-3p_gac-miR-133b-3p	0	39	18	286	0	3	38	15	200	5	508	878	108	36
a236_gac-miR-133a-3p	739	2533	9469	31305	300	3024	7211	6651	46906	423	54975	102348	12615	6777
a64_gac-miR-130c-3p	0	97	74	119	0	25	19	15	10	9	4	39	20	15
a104_gac-miR-130c-2-5p	0	223	313	128	129	116	71	90	93	63	73	199	400	123
a30_gac-miR-130b-5p	6717	10406	9500	5849	6785	5296	3574	4648	2973	3976	3910	10311	15267	4783
a62_gac-miR-130b-3p	0	191	176	118	0	54	11	16	35	20	27	79	95	38
a70_gac-miR-1306-5p	1252	154	210	265	130	152	252	395	73	80	79	162	453	66
a12_gac-miR-129-1b/2-3p	0	0	0	0	0	0	0	7	5	0	17	34	0	0
a96_gac-miR-129-1a/2-5p	0	11	7	34	0	16	13	0	180	0	54	47	0	13
a166_gac-miR-128-2-3p	20053	36020	53094	26567	30399	26521	31270	44253	21746	17784	32018	42508	77761	17165
a68_gac-miR-126b-5p	2670	5858	3931	4466	1086	1984	3269	4648	2892	1688	4727	6232	2926	1423
a179_gac-miR-126b-3p	65183	170403	82745	217750	73301	40704	53394	65184	43984	50942	99858	91762	71468	43003
a175_gac-miR-125b-2/3-5p	33070	49765	52828	104588	27330	39575	108705	96676	132493	68575	119653	239876	110018	47230
a28_gac-miR-125b-2-3p	0	42	133	208	183	12	156	116	155	132	97	153	138	45
a176_gac-miR-125a-5p	43604	100264	51159	119043	65384	40737	59557	58474	65913	41834	64424	94793	76476	55987
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	0	43	42	74	0	26	66	12	80	45	99	133	31	22
a129_gac-miR-124-3p	0	0	12	0	0	0	14	0	21	0	18	3	26	4
a123_gac-miR-122-5p	4982	6872	32060	31438	75676	3486	617165	235841	287013	94073	215550	87567	92594	283633
a11_gac-miR-122-3p	0	152	127	474	413	61	1637	500	1065	232	1146	415	112	881
a141_gac-miR-10c-5p	3511	10489	4717	8896	8742	4608	7631	10061	2587	3404	17351	10284	7460	7037
a140_gac-miR-10b-5p	14837	37422	65116	28155	25789	10033	35508	17734	28762	22659	48637	66923	32211	16552
a132_gac-miR-10545-5p	0	17	4	15	66	0	8	43	19	3	23	14	23	2
a90_gac-miR-10545-3p	0	31	3	23	0	5	35	27	14	19	17	22	35	16
