Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a199_gac-miR-24-2-5p	816	617	547	558	264	723	342	407	275	389	769	396	534	586	298	379	141	754	555	194	493	1174	506	462	662	206	658	572	1024	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	779	682	311	379	112	298	464	294	247	214	187	58	74	159	75	164	92	503	366	116	883	144	157	184	171	412	182	317	500	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	13450	17098	11091	6861	4224	8852	6048	4203	3464	3092	8029	2380	3822	8634	2903	3663	1189	15924	11294	1828	3591	5754	4841	5097	955	2268	4656	7071	10767	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	81	58	170	35	67	36	12	45	43	58	65	50	57	103	24	71	9	0	126	22	259	150	69	153	0	175	69	89	108	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	95580	102048	166318	86670	68625	121288	60602	51289	44554	58529	119710	69556	98806	86143	35836	76090	13754	129168	120630	29768	59413	159924	119961	59897	29117	30890	83406	82667	167223	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	455	293	617	317	79	379	166	200	132	203	656	87	150	400	64	484	34	984	389	130	328	406	397	326	212	569	316	587	1255	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	389	256	380	325	209	365	100	189	157	159	181	197	400	213	208	522	36	575	527	103	0	436	316	370	155	307	554	141	878	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	173	130	167	109	0	175	168	75	39	59	160	13	19	83	45	18	14	126	81	22	0	75	80	89	0	20	198	123	123	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	1708	4986	2574	1993	2963	3119	1540	2771	1480	7601	6791	1237	2241	2543	1179	1539	506	2821	4708	643	2479	2047	2740	2150	1135	2323	2091	1842	4779	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	78	157	120	131	287	69	38	0	63	191	259	132	135	198	45	138	39	193	13	30	141	248	188	135	116	107	56	314	257	73	108	98	112	56	102	236	231	52
