Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1.85279335988355	11.8156331211637	0	0	39.8401551963501	0
a222_gac-miR-19a-1-3p	51.5576828672994	201.328728949122	132.749973589615	109.826257596822	338.121002552918	39.6168650594572	39.0351204204981	35.9729719647706	133.401121911616	343.727508979306	238.672959772344	99.2888443558136	73.8702877598992	72.1591000137281
a72_gac-miR-199-5p	8467.27529256086	12665.0997051523	4577.12482903364	6270.33472398127	4925.14956445913	10704.4769390653	9179.54928598164	3834.71881144454	7463.05165361094	4613.46765958163	6462.52937229731	8682.13246952256	29278.3640531511	27850.9456275208
a20_gac-miR-199-3p	37524.3260618564	79716.025635502	26443.9518396117	52283.8137330634	28065.7996846328	74245.1744706275	71679.8138689307	55282.2355162604	56941.8983293012	47910.2440093875	20804.3263268226	27663.2259763163	59544.4319538783	58110.8950554999
a153_gac-miR-196d-5p	175.081298070204	95.5888502993731	56.5562017659898	158.22426941915	94.8495279888706	229.777817344852	483.531814241008	211.72663499265	264.949450463348	185.827684541937	0	30.4636227000792	0	185.023333368534
a69_gac-miR-196d-3p	528.466249389819	539.696340628319	116.254414741201	456.058188325787	130.857219169831	818.484432128385	372.722440144111	510.816201899742	548.426834525531	358.765587497151	318.230613029792	119.597926155866	0	513.1313778754
a154_gac-miR-196a-5p	1061.22897235191	929.665013088594	487.797240231662	779.952575136753	641.112550295144	2427.72149084354	780.702408409961	1301.1937859257	1165.40702336675	772.312746737879	133.106073719192	503.213915712419	38.1801487298356	811.018944598739
a216_gac-miR-194b-5p	40.8164989366121	17.7642996131578	8.64053082535955	0	0	11.092722216648	17.6287640608701	0	3.7055867197671	0	0	0	63.9102489608117	0
a215_gac-miR-194a-5p	7052.66136888934	3535.09562301841	3361.16649106486	1244.38734243179	449.657021576868	1076.78639231605	808.404751934186	999.020821421629	1902.81878060041	399.583229188444	2634.5822867178	168.114066011548	1015.92395750693	600.092344558611
a71_gac-miR-194a-3p	141.783627885073	15.2265425255639	27.4925980806895	14.8916959453318	0	34.0705039511332	0	0	35.2030738377875	0	0	0	0	0
a207_gac-miR-193a-2-5p	611.173365656112	1998.90666599486	224.653801459348	790.190616099169	687.659077919312	2247.8609234736	758.036854617414	868.490323149461	1189.49333704524	1272.86593168899	405.438040638918	479.519986945691	932.093630947942	1185.38282244774
a195_gac-miR-190b-5p	0	12.6887854379699	65.9822353936547	5.58438597949943	0	0	0	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	122.449496809836	40.6041134015036	423.386010442618	237.336404128726	644.625495776213	130.735654696209	168.732456011185	28.7783775718165	148.223468790684	293.242531097971	131.576118848856	42.8747282445559	111.220433256477	14.8018666694827
a130_gac-miR-18a/b-5p	205.156613076129	56.6765749562655	281.995506027643	80.9735967027417	105.388364432078	106.965535660534	16.3695666279508	23.6393815768492	96.3452547139446	129.9719643328	0	137.650443311469	59.7602327945252	16.0353555586062
a32_gac-miR-18a-3p	92.3741818039115	142.114396905263	173.596119309496	87.4887136788244	217.802619826296	144.997726117613	80.5886357068347	96.6131247053839	203.807269587191	586.485062195941	533.954249747103	157.959525111522	63.9102489608117	113.480977799367
a76_gac-miR-184-5p	62.2988667979868	7.61327126278193	45.559162533714	0	37.7641639214948	101.41917455221	3.77759229875788	0	24.0863136784862	6.44489079336199	0	10.1545409000264	0	0
a204_gac-miR-184-3p	22711.1593030454	2740.7776546015	10626.2819095876	886.986639743826	2648.76089272624	32302.007094879	5332.7011284132	11531.9070127065	4398.53143636355	4159.10285864961	1907.85372330842	5996.8205426267	589.302295612679	1259.39215579515
a159_gac-miR-183-5p	918.371226073771	236.857328175438	665.320873552685	360.192895677713	458.439385279541	1052.22393597918	428.127127192559	624.901912988015	415.025712613915	447.919910138658	0	516.753303579121	179.280698383576	189.957288925028
a243_gac-miR-182b-5p	6.44471035841243	8.45919029197992	0	9.30730996583238	0	32.4858293487549	23.9247512254666	83.2517351184691	27.7919003982533	82.7094318481456	0	23.6939287667282	0	12.9516333357974
a241_gac-miR-182a-5p_gac-miR-182b-5p	50.4835644742307	14.3806234963659	91.118325067428	10.2380409624156	0	80.8184047212926	11.3327768962736	65.7791487355805	9.26396679941775	26.8537116390083	0	13.5393878667019	0	0
a242_gac-miR-182a-5p	645.545154234312	104.048040591353	286.708522841476	146.124766463568	180.038455904801	621.192444132288	209.026773864603	577.623149834316	172.30978246917	176.160348351894	0	148.93326653372	0	51.1897888986276
a87_gac-miR-181b-3-3p	60.1506300118494	0	10.2115364299704	3.72292398633295	0	2.37701190356743	35.2575281217402	0	0	0	0	0	0	0
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	3612.26015589017	2020.05464172481	2209.61938288513	2149.0578711107	1662.50144891604	2388.89696308527	2253.96340492553	2369.07715367989	2184.44337130271	1278.2366740168	764.977435167769	1605.5457445264	4160.80620831882	1681.86210031997
a7_gac-miR-181b-1-5p	1677.77292997337	1044.71000105952	1086.35037558839	1315.12289817212	1113.60371749896	1213.06840812058	1519.85130153359	694.792258519569	1395.15339999231	708.937987269819	208.073862365633	900.369293135673	1607.71626281938	1108.90651132208
a6_gac-miR-181a-5p	14653.1231182437	10867.5217681066	12185.5049721639	13959.1034867554	12877.5798972297	11910.4143114752	13632.0714087843	7650.93723730721	10140.3380586427	7980.92309911327	10983.5460141388	20008.9587023409	36895.3037247533	21920.3310486147
a23_gac-miR-181a-3-3p	517.725065459132	495.708551110024	292.992545259919	452.335264339454	175.647274053464	530.073654495537	586.78600374039	531.372185879611	466.903926690655	539.222529711287	555.3736179318	607.015889357133	618.352408776684	580.973266777196
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	60.1506300118494	69.3653603942354	94.2603362766496	53.0516668052446	39.5206366620294	92.7034642391298	17.6287640608701	92.5019279094101	57.4365941563901	77.3386895203439	0	68.8252216557344	37.3501454965783	37.0046666737067
a22_gac-miR-181a-2-3p	1965.63665931579	2389.72125748433	1391.12546288289	1654.839711925	353.051020847463	2352.44944723057	2281.66574844976	1415.27949701397	2056.60062947074	1139.67152195951	406.967995509253	2139.22328293889	7265.0183007011	1263.70936690708
a24_gac-miR-181a-1-3p	388.830858290883	295.225741190099	520.002855126184	257.812486053557	591.053077189907	392.999301389815	376.500032442868	200.420843803722	376.117052056361	135.342706660602	197.364178273284	218.88677051168	254.810992609989	117.181444466738
a2_gac-miR-17a-5p	143.931864671211	87.1296600073932	305.560590096806	130.302339521653	887.018733969994	114.888908672426	0	40.0841687607444	114.87318831278	65.5230563991802	0	156.831242789297	346.941351501549	75.8595666810988
a115_gac-miR-1788-5p	11.8153023237561	0	0	0	0	14.2620714214046	0	43.1675663577247	0	0	0	0	0	0
a150_gac-miR-16c-5p	83334.401407845	134660.15841997	139135.325869556	263041.332792362	485118.449735522	157413.651627247	182547.111047743	168786.212257903	249556.443229435	562066.445128358	240040.739426424	235335.998487401	151424.129868994	195324.199081604
a149_gac-miR-16a-5p_gac-miR-16c-5p	4929.12930579244	7250.37199925599	8619.3222496973	12517.401173048	21624.8141450922	7806.10709131544	8223.8184343959	7886.3032538767	11020.4149045874	24331.6110418726	7828.77907150695	10971.4173013174	5860.65283002976	10353.2889908586
a151_gac-miR-16a-5p	5389.92609641893	4683.00774564009	8936.66538182869	8504.08911578105	35443.8634312485	4963.99319194998	4674.14087099641	4268.45007341978	7802.11283846963	15954.3271589676	12974.0173004454	10146.6429237708	8165.57180878526	8938.47723503386
a152_gac-miR-15c-5p	33340.6349208536	55282.5003961472	64745.0684800237	75911.3508123255	119550.804139009	46072.8293895463	50286.0494836319	48149.3090752459	65429.5447109277	161829.059524388	145151.408413344	81621.0714720899	89636.1991756215	84513.7247271897
a147_gac-miR-15b-1-5p	88.0777082316365	149.727668168045	65.1967325913493	67.0126317539931	382.911057436552	61.009972191564	12.5919743291929	124.363703078207	118.578775032547	155.751527506248	341.179936084825	311.405920934143	356.071387067379	622.295144562835
