Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a94_gac-miR-210-3p	479.98342773677	238.185373268822	571.46134198807	313.8103674656	1090.53624911029	175.868671599277	296.171775466021	190.272864106087	223.406516294105	423.537791983408	331.207533459795	1053.54295457048	599.895180419562	612.245834118567	30.0581632665138	747.3110852709	1143.17209356318	161.161207470307	213.99566935708	520.428019374219
a52_gac-miR-21-5p	179680.832535403	164568.248421964	212238.450840066	212970.753728923	335706.010509176	211953.532771996	236497.616420527	200614.546627408	275533.048566313	203277.051133348	140491.014397318	253812.908768555	222858.442182148	161395.59122997	170393.715925213	282484.609756391	192119.538313024	238816.115439076	188299.351811515	233053.734846405
a126_gac-miR-20a-5p	163.359560491673	297.925678616377	360.206835864661	304.129841991083	1087.56273513862	182.931670458686	203.757274098804	121.563218734444	168.796034533324	350.60493568751	351.343840525484	472.905071241464	374.803620576271	425.343775599486	180.348979599083	1115.35924595684	511.972778098846	75.5627639421219	261.248520204963	420.076428194437
a203_gac-miR-206-1-3p	7567.76930232774	56339.7630314725	7120.35103181377	81684.2739539763	7274.70193169277	84503.1309537379	34874.7832749876	49770.4482499717	15626.8720990018	9567.38481144262	19610.6800157337	379.163533450997	1151.63123640754	9342.83744645688	93138.2246976197	6128.35870881771	33744.6167372959	877.82679673387	1673.94581969168	6000.09164937721
a240_gac-miR-205-1a-3p	450.615416861863	83.0157489894592	344.452262526644	63.7301260405717	104.816367501398	940.085148187301	247.180955464122	353.238048641392	72.8139756810418	65.9031833999079	7.63790957664096	51.7677148992136	31.4081246292964	167.645482792873	0	61.1714394491869	133.253188820248	857.755437561744	46.7097146312408	142.359233999226
a178_gac-miR-205-1-5p	28664.0963642496	12598.9976433629	18662.008235851	2946.10658607807	3397.98309112688	82668.1638500635	5778.68990476935	12846.9418987184	8577.15536260999	10762.429203761	3541.90697731323	4211.37356342251	6434.47779905519	30321.177590538	2204.26530621101	3542.84586809874	11045.9880206258	117001.855955256	13579.4916884917	24329.4264662611
a101_gac-miR-204-2b-3p	86.268531945041	73.7055715326974	42.9670181945918	50.0160482850056	52.0364945042401	74.1614880237916	188.169285916381	205.248043225547	178.725213035284	23.7251460239668	6.24919874452443	0	1.04693748764321	0	0	0	0	0	64.6332097804379	0
a233_gac-miR-204-1/2b-5p	53930.6809704084	19272.8431836183	10447.430474015	19608.7110590908	17641.8583939232	50698.9121127218	36254.3202291319	32919.8481690211	67650.8028600224	24805.0795226133	8923.16145176482	1192.05657011162	1396.61460851605	10982.4782325561	18119.0608170545	5477.90240267469	3212.10318314071	3177.76842422221	11560.6543712321	1927.68405382558
a234_gac-miR-202-5p	61.4892727693377	79.9123565038719	46.5476030441411	24.201313686293	0	0	8.90742181852693	103.064468057464	0	193.31600463973	224.971154802879	68.5572440557152	11.5163123640754	7.92917824020346	0	84.6204912380419	0	13.57768414585	82.5567049296349	53.6764324915114
a67_gac-miR-200b-5p	92.692784323927	22.4995955205076	56.5732406228792	15.3274986679856	0	126.427679583416	0	31.7121440176811	6.61945233464016	50.08641938393	3.47177708029135	20.9869114456271	27.2203746787236	14.1592468575062	0	13.2538118806572	38.573291500598	487.615961064006	55.3998940975182	21.0038214097219
a133_gac-miR-200b-3p	54556.5867021798	8855.53045762324	32516.0071357272	3867.36992706963	6488.20748618583	50272.3069816135	10073.1806490266	24818.276265393	10645.734217185	13271.1437185174	1371.35194671508	4775.22191759502	9605.65144912649	13297.2319088212	883.710000035506	2298.00707530779	13234.1456475688	85632.092571503	6963.54943357138	10984.9985972845
a128_gac-miR-200a-3p	9810.75113289881	811.537134981068	5978.86058177744	366.246547119235	620.721041586293	4150.21812978857	2131.10067008257	2902.5420705072	1234.52786041039	815.44205593486	97.2097582481577	803.099144652664	1431.16354560827	2022.50682112618	52.1008163286239	135.596690779031	1016.93223047031	15915.9974894027	778.314198448466	2413.1057041836
a221_gac-miR-19c-3p	20.1905074764989	0	7.16116969909863	25.0080241425028	0	10.5944982891131	0	0	3.30972616732008	42.178037375941	25.691150394156	0	2.09387497528643	1.13273974860049	0	0	0	0	0	0
a220_gac-miR-19b-3p	350.580629819209	574.90345795504	363.0713037443	406.582069929723	1121.01476731992	211.889965782262	253.861521828018	251.935366362689	335.937205982988	1192.40826498233	1010.98148578084	629.607343368813	506.717744019316	534.653161339433	82.1589795951377	440.434364034146	382.226252142289	141.680182391479	261.248520204963	585.773241537798
a157_gac-miR-19b-2-5p	100.952537382495	83.0157489894592	63.7344103219778	91.9649920079136	181.384352271923	100.294583803604	62.3519527296885	146.228219637085	84.398017266662	194.194713751729	87.4887824233419	123.123213814346	95.2713113755325	133.096920460558	246.476938785413	46.8981035777099	164.813154593464	49.5880638370175	132.52523686073	105.019107048609
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1.65486308366004	9.66580023198649	8.33226499269923	8.39476457825085	0	0	0	12.2342878898374	0	7.08400911957393	0	0
a222_gac-miR-19a-1-3p	44.0520163123613	184.651852892442	121.023767914767	95.1918338327526	286.200719773321	35.3149942970436	34.5162595467919	30.8312511283011	119.150142023523	281.186915839607	216.63888981018	194.478712729478	120.39781107897	177.273770655977	56.1085714308258	83.6009672472221	84.1599087285775	88.5501139946741	58.6587113973722	161.029297474534
a72_gac-miR-199-5p	7234.62592896551	11615.9980735531	4172.81358366477	5434.80834348521	4168.86658828255	9542.11145906119	8116.88813213267	3286.61137027689	6665.78850098264	3774.05563603472	7769.83710569204	4466.01475562945	4698.65544454275	11966.8290740899	15684.3495924669	4638.83415823001	10607.6551626645	6774.67405468587	5758.33016884204	12497.2737387845
a20_gac-miR-199-3p	32061.6081223405	73112.8235679502	24108.0777920155	45316.9598775837	23756.1464981715	66183.1245122035	63381.8733774557	47380.5858410837	50858.907150124	39193.0625224812	46762.0598498602	15687.0167418914	20560.8053198251	34863.463982426	40855.0555118456	22238.8768117519	19493.5388592568	17375.303368035	33849.8784298003	29216.3155809231
a153_gac-miR-196d-5p	149.59330539406	87.6708377178401	51.5604218335101	137.140777555661	80.2848772351133	204.826966922853	427.556247289293	181.463935212286	236.645420963386	152.016676375787	90.266204087575	5.5965097188339	20.9387497528643	16.4247263547072	198.383877558991	14.2733358714769	49.0932800916702	13.57768414585	0	35.0063690162031
a69_gac-miR-196d-3p	451.533167201704	494.991101451168	105.98531154666	395.288123542786	110.76339544474	729.607782176921	329.574607285496	437.803766021875	489.839472763372	293.48884340759	286.074431416007	32.1799308832949	41.8774995057286	68.5307547903299	346.670816340459	69.3276313757451	185.853131775609	41.9137206241458	90.1606119626276	32.6726110817895
a154_gac-miR-196a-5p	906.737335762771	852.6570854151	444.708638314025	676.023362303786	542.666299829933	2164.10285052283	690.325190935837	1115.21039795512	1040.90887962217	631.791851527117	751.292560175048	144.110125259973	171.697747973487	336.990075208647	795.539387787065	258.959093668224	192.86645750299	87.9597799013763	423.103112764379	221.707003769286
a216_gac-miR-194b-5p	34.8745129139527	16.2928105493331	7.87728666900849	0	0	9.88819840317222	15.5879881824221	0	3.30972616732008	0	2.77742166423308	0	5.23468743821607	5.66369874300247	0	0	0	0	0	0
