Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a114_gac-miR-23a-3-5p	419.398361793799	216.510104740194	427.302645519099	255.734761387478	60.4544670720604	251.42949962474	180.574746426774	178.844039676881	214.273936295574	183.538436558981	180.379609432534	486.681091448594	232.728439215507	251.370605928019	340.404670640769	304.822907671687	217.452278153517	267.079092300032	369.611541708555
a112_gac-miR-23a-2-5p	358.562555467665	189.169238271296	263.168566121974	262.188635491894	159.936501494438	242.141866393219	108.779967726972	169.007617494652	254.856121200038	143.756706467379	214.200786201134	157.23542954493	230.184959005502	394.638826923263	334.793604641196	154.215139680054	307.631017034829	91.9693844008374	118.027214999371
a118_gac-miR-23a-1-5p	159.463552945774	96.0625038096426	115.655659322025	87.934034672666	0	116.095415394009	182.750345781313	67.0665148788303	63.3082084509649	53.3436835319207	46.3475385347484	74.8740140690145	69.9457057751524	289.141318735856	104.739898658698	79.3621771452912	79.3061249736357	23.5441624066144	43.4837107892418
a79_gac-miR-22b-5p	1574.35692734903	3684.36649226829	1782.62076104726	1607.8213862626	2267.42513841158	2069.15200350808	1675.21150299537	2477.88416972318	2402.46534634431	6872.29387332422	1876.448992569	4358.91551905113	5224.30835135138	2594.4572383866	2910.27289844526	2122.03639571443	2827.5191815197	5005.34177663118	1846.50471887173
a14_gac-miR-22b-3p	71.896862021794	116.013946908568	83.1058629858864	105.68218845981	219.625722147865	45.7747637839236	41.3363877362495	0	102.267105959251	172.688873806726	91.4424408928819	134.773225324226	124.630530290272	145.873097740612	104.739898658698	91.9879780547693	150.9374636595	169.959422372748	80.7554628943062
a45_gac-miR-22a-5p	2490.58104080625	6006.86225745065	2059.64030433355	2367.76506205757	2206.20542492089	4828.90587801711	2628.12402028365	2900.85032355901	2897.56800217878	2699.7328648528	1416.73151575136	4491.19294390638	4074.65529642888	2752.05228148137	2564.25716180492	3076.18620730214	3749.13310157623	3252.77318748882	1582.49647479419
a13_gac-miR-22a-3p	176628.467876157	161151.500621708	157806.260479609	176043.937414677	55328.0813136334	178038.621829263	260929.420787011	191506.197686004	189621.070609809	100964.222712027	44005.1088844786	85844.3050303596	93466.5390171786	136619.273102692	124169.149859887	140277.157318913	152082.92551295	95051.4624108783	164728.720387016
a219_gac-miR-223-5p	877.510418522409	435.975978828378	1501.44592461168	1104.41920611816	2032.49448789104	768.219948721501	980.10750922002	944.29652949393	1280.77375558491	1183.50647022516	1443.03687546027	436.765082069251	568.467826936239	1031.53119116576	1498.15462188602	760.253583335005	1121.79792906256	1943.12915362089	1192.69606736206
a173_gac-miR-223-3p	37796.5490667136	19608.573854559	60949.8399138491	33173.7196309605	56812.6593657827	27953.1224173827	11738.4463174176	16476.901375431	34567.905101623	35265.5995959757	89458.265189124	21090.7618630069	43000.0764303537	42025.7789713958	72958.8208371161	32666.5543245084	67422.357972546	78365.2730602656	34224.7863704754
a201_gac-miR-222c-5p	85.7231816413698	72.4163490257306	49.8635177915318	108.102391248966	234.165404101905	83.5886990836867	171.872349008616	131.450369162507	92.5273815821795	58.7684649080482	67.6423535372003	57.4034107862444	58.5000448301275	27.3512058263648	33.6663959974387	112.730365263198	78.6665594496548	84.6118336487704	72.9905145390844
