Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a146_gac-miR-29a-3p	461	384	367	260	795	196	145	576	122	608	389	297	279	265	132	264	715	153	76
a33_gac-miR-29a-3b-5p	48	44	35	191	352	43	1	27	56	161	48	53	68	47	14	75	64	115	24
a228_gac-miR-27e-3p	3544	3923	3711	2993	2295	6252	3523	3505	1689	1865	818	1316	1606	2095	857	2184	4901	1937	1560
a35_gac-miR-27e-1-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
a59_gac-miR-27c-1-5p	1116	996	799	1270	550	906	1138	262	339	481	468	299	292	379	406	795	1265	646	379
a231_gac-miR-27c-1-3p	7601	7760	12886	7101	9117	6219	6223	3930	3101	4150	6635	3316	3876	4686	4641	5204	12414	4728	4219
a36_gac-miR-27b-5p	643	923	550	514	250	519	835	233	265	349	207	251	236	333	218	404	640	447	306
a230_gac-miR-27b-3p	13330	17581	12015	7902	6236	9420	9225	7293	3833	5481	4221	5116	5219	5406	4617	6822	10760	6408	4067
a42_gac-miR-27a-5p	183	108	296	200	88	259	147	226	73	66	74	107	98	62	231	187	172	263	69
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	117	75	174	109	11	132	12	58	52	80	39	26	49	40	53	136	128	25	71
a229_gac-miR-27a-3p	793	276	1170	257	458	490	345	233	123	174	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	325	383	422	233	1033	620	236	285	233	1438	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	216	149	230	197	436	179	77	218	159	317	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	100716	148537	144579	166390	293821	161126	104596	98255	71535	313173	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	147	88	141	112	15	141	75	220	35	1	33	98	43	59	68	80	88	45	32
a196_gac-miR-24-4a-5p	5	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a206_gac-miR-24-3p	5577	5370	6682	3595	3213	4592	3186	2318	2040	1776	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	20	8	42	15	0	12	16	0	2	0	13	0	0	17	11	6	25	36	0
a199_gac-miR-24-2-5p	816	617	547	558	264	723	342	407	275	389	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	779	682	311	379	112	298	464	294	247	214	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	13450	17098	11091	6861	4224	8852	6048	4203	3464	3092	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	81	58	170	35	67	36	12	45	43	58	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	95580	102048	166318	86670	68625	121288	60602	51289	44554	58529	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	455	293	617	317	79	379	166	200	132	203	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	389	256	380	325	209	365	100	189	157	159	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	173	130	167	109	0	175	168	75	39	59	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	1708	4986	2574	1993	2963	3119	1540	2771	1480	7601	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	78	157	120	131	287	69	38	0	63	191	73	108	98	112	56	102	236	231	52
