Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-30c-1-5p	1982.14129982601	1778.08169645101	3387.97502665086	618.522640069335	1211.69514069688	940.045091522278	916.408197866981	1363.81774326572	3887.10791865464	1453.27176981399	3310.63621927251	1785.46613291211	1916.66338929759
miR-30bb-5p	1148.39280420954	831.386141159653	666.729779297182	713.019154524372	776.522915537207	427.197094460068	732.475468987818	515.050723155099	509.678880620277	227.685173238911	893.202161318981	683.924315318876	421.478621813552
miR-30bb-3p	43.6023948237588	62.6567136149453	80.4308940104537	100.560461906697	0	35.9522307218869	71.6198236343644	57.9051108872597	35.4839727014117	0	53.3424416543737	4.84194205535488	0
miR-30a-5p	22202.4572885683	22493.2336607602	26389.0941111667	28786.063881985	17213.2573282194	22444.7661559639	28384.2382849102	18819.1610383594	16807.5750695687	21372.1668473869	17892.4168655575	16388.7633718624	21931.3633576801
miR-29b-1a/2a-3p	86.6155680958451	82.1382128061468	4.93873910590505	140.481449296793	0	82.4786469502111	78.9445783242426	28.9525554436298	11.8279909004706	81.8243591327338	27.238693610744	49.6299060673875	40.8706542364657
miR-29a-3p_gac-miR-29b-1a/2a-3p	0	2.10610802067043	0	0	0	27.492882316737	0	6.09527483023786	6.45163140025667	0	0	6.0524275691936	0
miR-27e-3p	605.719755119243	1464.79812837628	1310.8824655388	604.373429348794	447.149442365898	1071.1649918021	480.992224635334	1334.86518782209	1292.47682385142	1712.97517053962	1980.48001461451	1062.8062811504	1914.96044537107
miR-27c-1-3p	1889.04429466176	1996.59040359557	643.447152083629	3095.6451740725	1738.69269777097	1326.00286250724	1217.5370017842	2448.77666304806	1935.489420077	1255.82603364587	1920.32789955745	1435.63581941272	1958.38551549731
miR-27b-5p	146.716166366431	183.231397798327	414.148550738038	4.54796058874511	15.9696229416392	300.30686838282	56.1564526223994	181.334426199576	138.710075105518	0	183.861181872522	117.417094842356	68.1177570607761
miR-27b-3p	5772.01432018298	5210.51124313865	4789.16586441193	2237.09128070829	1864.45347843638	4712.91448021911	3069.88607669117	3644.97434848224	4260.22726796949	4491.44580022071	4438.77211298416	2443.97025244037	4124.53019002999
