		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-196d-3p	miR-196d-3p	95	25	328	0	0	0	0	0	8	0	0	17	0	0	268	117	354	365	0	0	0	0	0	0	0	0	5	0	8
miR-196a-5p	miR-196a-5p	218	182	2318	0	0	0	0	0	196	60	328	30	21	124	1700	1087	2023	3257	0	0	0	0	0	0	0	0	44	0	41
miR-194a-5p	miR-194a-5p	47	0	23	12303	12694	586	522	0	1	43	117	11	28	2	31	13	2	15	691	496	210	526	729	411	293	0	0	0	24
miR-194a-3p	miR-194a-3p	0	0	0	0	152	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
miR-193a-2-5p	miR-193a-2-5p	555	349	2497	332	135	0	58	46	203	1	263	40	0	61	1565	873	1435	1706	507	272	120	124	238	61	214	345	6	34	0
miR-191-5p	miR-191-5p	14671	29021	41459	0	0	0	0	0	5328	25999	29744	2148	2676	2380	44924	17060	31283	44013	0	0	0	0	0	0	0	0	3198	1877	2311
miR-18c-5p	miR-18c-5p	45	26	52	0	0	0	0	0	31	92	379	53	0	0	38	44	74	179	0	0	0	0	0	0	0	0	1	0	0
miR-18a/b-5p	miR-18a/b-5p	128	8	0	44	65	0	5	0	0	352	179	0	1	2	6	0	27	76	31	0	2	27	15	24	13	150	1	0	0
miR-18a-3p	miR-18a-3p	93	66	34	87	83	82	281	121	0	0	0	0	0	0	125	77	83	142	59	0	35	64	0	56	62	146	0	0	0
miR-184-3p	miR-184-3p	83	1336	3042	673	1002	2880	1536	1710	268	1740	453	77	75	134	1246	964	553	5469	1386	869	904	651	190	709	1077	2824	114	2	24
miR-183-5p	miR-183-5p	648	211	764	577	250	2720	4837	197	7	651	190	57	26	91	239	278	207	499	626	672	214	695	31	307	189	1443	59	10	128
miR-182b-5p	miR-182b-5p	65	20	2	90	89	151	1243	50	18	102	0	11	5	45	32	10	8	20	109	76	37	3	0	32	24	162	0	0	9
miR-182a-5p_gac-miR-182b-5p	miR-182a-5p_gac-miR-182b-5p	8	0	40	21	0	23	115	0	0	9	121	1	2	0	23	19	0	53	5	0	4	9	0	7	0	18	0	0	0
