Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-182a-5p	8886.16071753019	11730.4560131987	50.755438687357	275.656404437713	7040.32853748112	8956.58309665831
miR-181b-3-3p	87.4319762129018	0	0	0	0	0
miR-181b-2/3-5p_gac-miR-181c-5p	1660.02603485307	3787.06113922748	1957.25660438121	1726.9062983892	1706.19224944697	2249.96290350837
miR-181b-1-5p	171.319412849605	49.0294706651869	207.780077126368	308.987407588678	147.234864165474	61.0015162994072
miR-181a-5p	3406.30253272697	3945.32082302017	5506.96509757824	7805.76060278687	4354.49516567825	6024.25439454494
miR-181a-3-3p	146.507635816214	220.942931098817	626.512446297063	744.092124397225	334.887142023432	271.669543519453
miR-181a-2-3p_gac-miR-181a-3-3p	327.279154202348	201.703518559313	237.916118846986	143.233229756851	316.603073924451	460.348652073433
miR-181a-2-3p	6109.60471617453	4196.05381224467	2943.81544386671	4063.67987064877	4352.57052693098	7330.11243532644
miR-181a-1-3p	584.849030072789	206.047902035975	188.746787618609	334.210869432652	552.371320463937	739.820715119555
miR-17a-5p	87.4319762129018	0	0	0	154.933419154519	25.5355184509146
miR-16c-5p	36463.8601335483	13776.6606307066	21899.3856861356	47298.4951470657	45361.8106341969	31854.1406276021
miR-16a-5p_gac-miR-16c-5p	1137.79720395979	677.103196148341	1371.98295201762	2003.46354074991	1390.55149489615	1617.24950189126
miR-16a-5p	772.709627611321	1177.32792217544	934.217293339165	1141.36164843981	1492.55734850099	552.560246479514
miR-15c-5p	29261.3557147125	14893.1671842087	14582.6719778613	30088.8874660917	33507.9605898158	26312.2238037966
miR-15b-1-5p	218.579940532254	12.4125242190347	103.096984833694	40.5377065349578	61.5884399123553	0
miR-15a-2-5p	1953.04130648549	3189.39809808096	7043.90322532977	2473.70093655542	3037.07994317802	2000.28227865498
miR-155-5p	1786.44794640415	2371.41275204657	1335.50248046108	4958.21192818684	2762.81892169331	6960.55673774515
miR-152a-5p	892.042460010011	563.528599544174	1240.33603292229	602.660570486372	787.177247629791	827.067069826846
miR-152a-3p	66.1647387557095	74.475145314208	245.846656141886	372.046062198612	55.814523670572	79.4438351806233
miR-150-5p	33595.1461032115	4562.22327670619	7979.70662612791	17066.3744512172	25680.4548047049	51583.1659107615
miR-150-3p	0	168.18970316792	4.75832237693972	178.365908753814	133.762392934647	129.096232168513
miR-148a-3p	179.590005194068	22.3425435942624	172.88571302881	527.89102287745	297.35668645184	193.644348252769
