		O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
nomCol	Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-200b-5p	miR-200b-5p	8	32	196	125	31	26	0	23	71	0	49	69	74
miR-200b-3p	miR-200b-3p	8600	20639	52969	26503	7438	7662	8606	6456	24248	1132	17073	12130	28498
miR-200a-3p	miR-200a-3p	1208	4522	4552	2222	814	1948	894	1127	2076	611	1881	1605	3474
miR-19c-3p	miR-19c-3p	16	28	0	32	0	0	0	5	12	0	0	0	0
miR-19b-3p	miR-19b-3p	945	461	358	456	58	84	268	103	234	0	75	160	359
miR-199-5p	miR-199-5p	2327	4226	1628	2147	716	2075	2415	1969	2118	1228	2175	1909	2368
miR-199-3p	miR-199-3p	37120	43625	15519	17484	7773	9261	18231	14697	18422	6922	23659	13987	12114
miR-194b-5p	miR-194b-5p	0	2	0	0	0	0	0	0	25	0	4	0	0
miR-194a-5p	miR-194a-5p	12303	12694	586	522	0	691	496	210	526	729	411	293	0
miR-194a-3p	miR-194a-3p	0	152	35	2	0	0	0	0	4	0	0	0	0
miR-193a-2-5p	miR-193a-2-5p	332	135	0	58	46	507	272	120	124	238	61	214	345
miR-18a/b-5p	miR-18a/b-5p	44	65	0	5	0	31	0	2	27	15	24	13	150
miR-18a-3p	miR-18a-3p	87	83	82	281	121	59	0	35	64	0	56	62	146
miR-184-3p	miR-184-3p	673	1002	2880	1536	1710	1386	869	904	651	190	709	1077	2824
miR-183a-3p	miR-183a-3p	0	3	0	111	0	0	0	0	0	0	0	0	0
miR-183-5p	miR-183-5p	577	250	2720	4837	197	626	672	214	695	31	307	189	1443
miR-182b-5p	miR-182b-5p	90	89	151	1243	50	109	76	37	3	0	32	24	162
miR-182a-5p_gac-miR-182b-5p	miR-182a-5p_gac-miR-182b-5p	21	0	23	115	0	5	0	4	9	0	7	0	18
miR-182a-5p	miR-182a-5p	350	28	729	233	31	136	52	55	217	68	105	96	248
miR-181b-2/3-5p_gac-miR-181c-5p	miR-181b-2/3-5p_gac-miR-181c-5p	908	7029	2199	2306	200	674	1792	509	1535	965	773	699	1461
miR-181b-2-3p	miR-181b-2-3p	2	31	0	0	0	0	0	0	0	0	0	0	0
miR-181b-1-5p	miR-181b-1-5p	119	167	149	425	111	157	117	69	78	141	104	184	200
miR-181a-5p	miR-181a-5p	5015	18748	5674	10757	965	4774	4213	3046	3804	3094	2878	2808	3952
miR-181a-3-3p	miR-181a-3-3p	190	347	230	179	122	89	202	78	125	109	115	145	268
miR-181a-2-3p_gac-miR-181a-3-3p	miR-181a-2-3p_gac-miR-181a-3-3p	45	94	66	51	0	0	62	3	20	0	7	4	81
miR-181a-2-3p	miR-181a-2-3p	594	2263	1202	1552	331	278	1321	173	661	116	244	523	946
miR-181a-1-3p	miR-181a-1-3p	39	12	334	126	0	48	78	17	61	0	0	26	28
miR-17a-5p	miR-17a-5p	224	272	153	179	41	46	204	19	23	0	29	38	4
miR-17a-1-3p	miR-17a-1-3p	16	10	23	95	0	14	0	4	27	0	10	0	0
miR-16c-5p	miR-16c-5p	81673	82292	94522	201888	23400	61964	95844	42073	46722	33611	44062	34304	45586
miR-16a-5p_gac-miR-16c-5p	miR-16a-5p_gac-miR-16c-5p	19601	15720	10138	20666	3340	6719	12529	6149	6895	4567	6323	4296	8398
miR-15c-5p	miR-15c-5p	84198	56580	38477	107034	21742	54018	45772	43860	40769	16424	39154	31023	67720
miR-15c-3p	miR-15c-3p	10	8	0	45	4	9	0	5	0	110	3	13	0
miR-15b-1-5p	miR-15b-1-5p	125	145	93	11	63	195	300	102	78	19	99	32	381
miR-15a-2-5p	miR-15a-2-5p	28470	28123	14387	35563	5869	13737	18248	10258	9590	7484	8973	6553	16204
miR-155-5p	miR-155-5p	207	206	487	1214	64	135	322	120	502	30	266	352	192
miR-152a-5p	miR-152a-5p	256	1204	961	232	123	507	718	98	142	326	225	239	419
miR-152a-3p	miR-152a-3p	1122	2853	728	445	214	373	792	242	407	113	338	722	296
miR-150-5p	miR-150-5p	8344	1646	53423	13204	4746	44019	2790	4777	83994	4684	27061	24525	35507
miR-150-3p	miR-150-3p	18	0	213	0	0	87	0	16	133	75	27	45	60
miR-148a-3p	miR-148a-3p	12060	5533	2032	906	173	698	1367	394	493	1125	575	775	424
miR-146a-5p	miR-146a-5p	78858	84230	53724	189173	52986	10848	78312	19282	40646	5528	49168	19103	64295
miR-146a-3p	miR-146a-3p	2568	2912	2265	7801	2403	929	2581	751	1349	1364	1680	761	3385
miR-145-5p	miR-145-5p	1605	2673	634	1615	1094	3541	388	972	2895	1051	1418	1447	1035
miR-145-3p	miR-145-3p	975	1812	888	685	425	1281	758	283	1322	1082	762	358	854
miR-144-5p	miR-144-5p	8369	5594	1968	3962	998	1544	2842	2024	2240	539	1748	1765	3844
miR-144-3p	miR-144-3p	953	238	285	534	119	206	275	181	169	99	8	179	834
miR-143-5p	miR-143-5p	22	47	69	0	0	0	0	0	24	55	12	0	3
miR-143-3p	miR-143-3p	34322	42160	16774	12050	15740	25879	13532	6156	16278	13579	9058	9256	11317
miR-142-5p	miR-142-5p	321	170	268	1273	121	138	413	123	144	0	105	129	241
miR-142-3p	miR-142-3p	294	132	118	570	7	62	138	49	68	0	74	171	200
miR-140-5p	miR-140-5p	124	191	0	166	47	89	49	44	79	51	60	55	72
miR-140-3p	miR-140-3p	2611	2626	1452	1079	627	930	1546	729	1321	210	500	479	2498
miR-139-5p	miR-139-5p	885	5238	674	288	158	605	862	370	647	649	683	746	480
miR-1388-3p	miR-1388-3p	305	473	1040	1260	55	294	208	199	363	49	512	289	776
miR-135c-5p	miR-135c-5p	20	954	335	60	0	242	0	13	19	0	18	7	0
miR-135a-2-5p	miR-135a-2-5p	30	0	788	0	0	255	0	0	0	0	0	0	0
miR-135a-1-5p	miR-135a-1-5p	58	19	9	235	0	15	0	59	39	70	65	36	42
miR-133b-3p	miR-133b-3p	15	11	0	381	8	10	0	22	0	0	37	12	34
miR-133a-5p	miR-133a-5p	40	18	0	0	0	0	0	29	0	0	11	24	0
miR-133a-3p	miR-133a-3p	7926	1741	2482	3444	1369	925	1345	3711	2351	140	5275	4166	3613
miR-132b-5p	miR-132b-5p	0	0	46	0	0	33	0	0	0	0	0	0	0
miR-132-3p	miR-132-3p	13	0	94	0	0	318	0	7	0	0	0	8	8
miR-130c-3p	miR-130c-3p	5	4	142	0	0	0	0	3	11	36	0	0	0
miR-130c-2-5p	miR-130c-2-5p	15	15	121	26	0	22	0	2	17	40	0	15	0
miR-130b-5p	miR-130b-5p	1250	927	3712	1913	650	772	1480	400	871	939	943	902	1225
miR-130b-3p	miR-130b-3p	1	3	0	144	0	0	0	0	4	0	0	0	0
miR-1306-5p	miR-1306-5p	442	74	324	128	165	328	254	91	215	41	127	155	102
miR-129-1a/2-5p	miR-129-1a/2-5p	0	0	14	0	0	14	0	3	3	0	0	8	91
miR-128-2-3p	miR-128-2-3p	18106	28617	27977	34205	8384	17731	22775	7805	10691	9693	12765	8943	17005
miR-126b-5p	miR-126b-5p	4219	2604	640	1114	436	862	316	1073	1042	418	701	1560	879
miR-126b-3p	miR-126b-3p	65946	53751	11742	26359	13778	11093	11441	15715	18520	3854	11475	30208	22382
miR-125b-2/3-5p	miR-125b-2/3-5p	81041	49992	32586	30748	31937	79911	22593	44015	48970	15008	38126	89547	41970
miR-125b-2-3p	miR-125b-2-3p	100	85	105	5	105	79	155	39	45	154	47	77	185
miR-125a-5p	miR-125a-5p	48738	18840	15567	24455	12817	38448	9869	20967	30261	6656	20276	29994	27504
miR-125a-1-3p	miR-125a-1-3p	33	23	0	0	0	59	63	19	14	0	10	10	0
miR-122-5p	miR-122-5p	418734	1944070	17290	5657	814	14242	160993	6719	3854	287619	2223	26923	157
miR-122-3p	miR-122-3p	4823	4588	319	0	60	185	866	89	36	464	22	139	0
miR-10c-5p	miR-10c-5p	2186	8918	30602	15963	4437	5164	13319	1820	3968	2668	7806	4500	11222
miR-10b-5p	miR-10b-5p	4018	2523	5409	12087	6369	3464	6988	1362	3640	1257	1139	6962	13750
miR-10545-5p	miR-10545-5p	22	19	0	1	0	18	0	10	9	0	9	21	0
miR-10545-3p	miR-10545-3p	179	195	209	288	21	38	198	29	32	0	57	78	295
miR-103-3p	miR-103-3p	3721	3056	1105	2370	291	782	1505	705	786	157	743	673	1056
miR-101b-5p	miR-101b-5p	999	1654	378	1039	299	410	772	492	423	288	382	361	634
miR-101b-3p	miR-101b-3p	121	132	0	148	163	0	142	15	2	31	16	35	85
miR-101a-5p	miR-101a-5p	0	0	22	0	0	0	54	0	0	0	0	0	0
miR-101a-3p	miR-101a-3p	26657	7871	6471	14243	5765	2015	4326	1895	3339	946	1116	2593	8788
miR-100-2-5p	miR-100-2-5p	88728	108798	136199	126863	87546	90905	130728	46797	61192	32597	63933	87434	177793
miR-1-3p	miR-1-3p	20331	6169	4032	13948	4781	3573	5502	5494	2897	3475	5509	11807	7867
let-7j-5p	let-7j-5p	5416	13232	4711	9871	1432	2877	6441	2053	2542	3992	2767	1996	2687
let-7j-3p	let-7j-3p	73	138	0	291	0	82	102	36	16	23	41	24	116
let-7i-5p	let-7i-5p	3502	2700	3522	11477	220	765	5555	537	668	2925	1673	622	1140
let-7h-1-5p	let-7h-1-5p	14587	31090	32022	38512	5075	8036	38553	5562	8081	12291	10754	5862	14069
let-7h-1-3p	let-7h-1-3p	130	187	53	269	177	68	87	66	86	149	61	143	178
let-7g-5p	let-7g-5p	48491	72330	60935	74685	14675	37445	80110	19951	27979	38286	34289	18373	37603
let-7f-5p	let-7f-5p	56928	38161	25843	36707	6089	12128	28166	7055	10380	17710	13618	7868	11917
let-7e-5p	let-7e-5p	96198	200073	287204	462025	51701	61734	318911	40774	63149	84884	87922	43668	123426
let-7e-1-3p	let-7e-1-3p	120	104	47	324	19	53	59	40	126	59	126	62	53
let-7d-5p	let-7d-5p	56311	31020	49836	75712	25713	48322	38503	20349	36986	54985	24297	24616	39862
let-7c-2/d-3p	let-7c-2/d-3p	69	71	25	0	8	45	0	11	79	35	29	68	16
let-7c-2-5p	let-7c-2-5p	62277	25313	59408	31802	23588	65645	25791	25825	25934	43305	27089	28832	47174
let-7b-5p	let-7b-5p	202383	212097	155145	100014	69600	158825	138896	56897	99767	282491	99446	91478	141413
let-7a-5p_gac-let-7c-2-5p	let-7a-5p_gac-let-7c-2-5p	2348	2936	1825	2130	875	1700	2101	1409	837	1329	1482	708	2216
let-7a-5p	let-7a-5p	894510	1401594	1055155	1058478	302153	794153	1164680	438115	524120	1018228	656778	394737	808909
let-7a-5-3p	let-7a-5-3p	99	472	158	1361	102	220	521	176	165	180	169	224	252
let-7a-3/7-3p	let-7a-3/7-3p	230	545	188	82	78	81	102	109	198	15	178	168	169
REV_let-7a-5p_gac-let-7g-5p	REV_let-7a-5p_gac-let-7g-5p	7	5	66	0	0	0	0	0	0	0	0	0	47
REV_let-7f-3p	REV_let-7f-3p	0	3	0	0	0	0	0	0	0	0	2	0	73
REV_miR-135b-3p	REV_miR-135b-3p	4	0	52	0	0	0	0	0	0	0	0	0	0
REV_miR-135b-5p	REV_miR-135b-5p	9	10	0	0	0	0	0	8	5	0	4	1	8
REV_miR-137-1-3p	REV_miR-137-1-3p	0	0	0	0	0	34	0	0	0	0	0	0	0
REV_miR-181b-2/3-5p	REV_miR-181b-2/3-5p	5	120	0	0	0	18	20	4	10	0	9	22	0
REV_miR-190a-5p	REV_miR-190a-5p	82	111	0	98	1	37	140	9	6	63	8	46	0
REV_miR-191-5p	REV_miR-191-5p	9875	7952	36602	39796	7836	21048	11337	6023	17887	8286	12418	12244	24253
REV_miR-19a-1-3p	REV_miR-19a-1-3p	178	34	0	1	2	19	74	39	50	0	0	16	306
REV_miR-2184-5p	REV_miR-2184-5p	109	75	0	0	0	39	18	43	27	0	18	55	60
REV_miR-21a-3p	REV_miR-21a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-24-3-5p	REV_miR-24-3-5p	0	0	0	68	0	0	0	4	0	0	0	0	0
REV_miR-29a-3p	REV_miR-29a-3p	9240	237	0	347	120	432	137	200	111	352	78	73	109
REV_miR-29b-2a-5p	REV_miR-29b-2a-5p	26	20	0	11	0	63	103	12	23	0	30	19	0
REV_miR-727b-3p	REV_miR-727b-3p	24	24	0	136	0	50	0	2	13	0	9	2	87
REV_miR-96-5p	REV_miR-96-5p	32	0	0	0	0	11	0	0	0	0	6	7	0
