Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a208_gac-miR-30a-5p	28095.9517984582	33424.4619500533	37516.2370531296	34727.0370409068	48502.5561576795	35630.1180852678	40509.5213915855	56605.7120444677	33990.1985491293	34211.9367400074	27037.7863288119	43504.2862655046	27680.2713903586	36327.8105426124
a110_gac-miR-301c-5p	0	5.37198038412942	13.1543608180679	1.12323437076388	77.5586896437153	0	0	0	0	0	0	8.63047096765361	35.9356763004774	0
a111_gac-miR-301b-5p	6.32601736680985	12.0869558642912	38.4512085451215	0	0	12.5751081910322	0	39.5234461343444	0	0	0	40.2755311823835	0	8.78942943719641
a143_gac-miR-29b-2b-3p	0	0	0	0	0	0	0	33.1299474949652	0	4.65436864703181	0	0	0	0
a145_gac-miR-29b-1a/2a-3p	33.0358684711181	95.3526518182972	19.2256042725607	108.953733964096	113.500521429827	79.3199132049725	237.748592610041	106.945795422344	130.64906209926	30.2533962057068	287.22124488884	63.2901204294598	56.1903302152919	58.779309361251
a107_gac-miR-29b-1a-5p	28.1156327413771	12.0869558642912	30.3562172724643	11.7939608930207	0	29.9867964555384	31.9363781117965	49.4043076679305	0	16.2902902646114	0	23.0145892470763	54.88357834982	22.5229129328158
a146_gac-miR-29a-3p	1065.58248089819	410.956499385901	417.903924450926	325.737967521525	650.736322864343	576.520344758093	379.688050884692	649.811952620545	1007.79295611681	339.768911233322	376.896656188976	320.286367021812	699.112248027469	648.220420993236
a33_gac-miR-29a-3b-5p	77.3179900387871	73.8647302817795	57.6768128176822	81.9961090657632	54.8585853577498	55.1370128376028	177.424322843314	72.0721664802751	221.903941351797	34.9077648527386	0	54.6596494618062	0	14.8321621752689
a228_gac-miR-27e-3p	2805.2372567709	1806.32840416352	1254.72364726186	2106.62606236766	3872.25945611427	1465.4837622626	2051.02517206871	5779.1415428498	1678.99004613821	3069.55612271748	1650.54742537931	2652.43141072554	3178.02053682767	2924.13330588728
a59_gac-miR-27c-1-5p	345.822282718939	748.048268490022	890.449039992287	396.501732879649	580.744334649282	810.610820314231	809.054912165512	721.302891951785	420.370837212506	535.252394408659	603.034649902362	637.695910387739	710.873014816716	1044.84342434672
a231_gac-miR-27c-1-3p	5091.03819864486	16575.2454752313	11773.1529321707	5535.86059630978	7124.04939507882	8017.11512979039	6231.14221825719	5865.74438805593	2648.38614049302	10495.6012990567	4507.16415056334	6212.98015549197	7091.08899798329	9182.75640451095
a36_gac-miR-27b-5p	234.765533390499	299.487906415215	315.704659633629	331.354139375344	300.776381789042	272.78311614393	308.718321747366	667.829994240613	431.341369144505	365.367938791997	75.3793312377952	183.157772757982	413.586965421858	327.955585875391
a230_gac-miR-27b-3p	7478.75830920632	7399.90297913828	7641.67176138835	9124.59441090037	6624.64710078758	4834.64544144454	9712.20743244301	14682.3790117599	5678.24759589419	11761.5895710494	6780.24088047548	8263.19648091902	8723.87545389044	10998.3229226318
a42_gac-miR-27a-5p	143.389726981023	79.236710665909	110.294256089954	120.186077671735	11.3500521429827	118.979869807459	70.9697291373256	237.140676806066	138.128970234714	207.119404792916	0	194.66506738152	169.877742511348	845.43324399033
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	118.085657513784	60.434779321456	92.0805257264751	78.6264059534715	22.7001042859654	101.568181542953	10.6454593705988	133.68224427793	117.683887997807	132.649506440407	57.1843202493619	25.8914129029608	25.4816613767021	51.0885586037042
a229_gac-miR-27a-3p	405.568002294365	400.212538617642	476.59261117769	599.807153987911	923.137574295928	611.343721287105	599.694211210402	1042.72150536785	532.07079870195	1594.1212616084	171.552960748086	509.197787091563	752.689074511817	720.183874510281
a74_gac-miR-26b-3p	618.543920310297	463.333308131163	382.48833763305	228.578194450449	393.468474290068	641.330517742643	535.821454986808	213.310363695653	422.864139924324	318.824252321679	244.333004701819	518.787199277845	50.3099468206684	350.478498808207
