Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a233_gac-miR-204-1/2b-5p	58764	24841	14589	24307	23732	71781	32561	37371	40880	28229	873	2437	2727	10302	1527
a234_gac-miR-202-5p	67	103	65	30	0	0	8	117	0	220	509	28	30	0	0
a67_gac-miR-200b-5p	101	29	79	19	0	179	0	36	4	57	0	111	72	0	0
a133_gac-miR-200b-3p	59446	11414	45406	4794	8728	71177	9047	28174	6433	15103	3960	39540	19716	2727	2794
a128_gac-miR-200a-3p	10690	1046	8349	454	835	5876	1914	3295	746	928	350	7446	2864	431	427
a221_gac-miR-19c-3p	22	0	10	31	0	15	0	0	2	48	0	8	5	0	0
a220_gac-miR-19b-3p	382	741	507	504	1508	300	228	286	203	1357	507	1213	815	845	0
a157_gac-miR-19b-2-5p	110	107	89	114	244	142	56	166	51	221	0	94	122	100	169
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1	11	0	0	0	48	0
a222_gac-miR-19a-1-3p	48	238	169	118	385	50	31	35	72	320	0	248	187	221	0
a72_gac-miR-199-5p	7883	14972	5827	6737	5608	13510	7290	3731	4028	4295	3743	13335	6610	21304	5501
a20_gac-miR-199-3p	34935	94236	33665	56175	31957	93704	56925	53787	30733	44603	11613	29862	42172	48126	13321
a153_gac-miR-196d-5p	163	113	72	170	108	290	384	206	143	173	0	13	70	61	0
a69_gac-miR-196d-3p	492	638	148	490	149	1033	296	497	296	334	0	45	124	196	119
a154_gac-miR-196a-5p	988	1099	621	838	730	3064	620	1266	629	719	0	173	684	216	120
a216_gac-miR-194b-5p	38	21	11	0	0	14	14	0	2	0	0	0	0	36	0
a215_gac-miR-194a-5p	6566	4179	4279	1337	512	1359	642	972	1027	372	0	350	353	1219	384
a71_gac-miR-194a-3p	132	18	35	16	0	43	0	0	19	0	0	0	0	0	0
a207_gac-miR-193a-2-5p	569	2363	286	849	783	2837	602	845	642	1185	1065	226	154	1603	1
a195_gac-miR-190b-5p	0	15	84	6	0	0	0	0	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	114	48	539	255	734	165	134	28	80	273	0	223	178	22	344
a130_gac-miR-18a/b-5p	191	67	359	87	120	135	13	23	52	121	0	259	177	302	178
a32_gac-miR-18a-3p	86	168	221	94	248	183	64	94	110	546	0	199	253	150	0
a76_gac-miR-184-5p	58	9	58	0	43	128	3	0	13	6	0	8	10	0	0
a204_gac-miR-184-3p	21144	3240	13528	953	3016	40768	4235	11220	2374	3872	2383	13995	8361	1037	624
a159_gac-miR-183-5p	855	280	847	387	522	1328	340	608	224	417	161	1196	770	212	340
a243_gac-miR-182b-5p	6	10	0	10	0	41	19	81	15	77	0	30	31	38	0
a241_gac-miR-182a-5p_gac-miR-182b-5p	47	17	116	11	0	102	9	64	5	25	0	39	37	23	0
a242_gac-miR-182a-5p	601	123	365	157	205	784	166	562	93	164	0	227	258	60	292
a87_gac-miR-181b-3-3p	56	0	13	4	0	3	28	0	0	0	0	9	10	0	0
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	3363	2388	2813	2309	1893	3015	1790	2305	1179	1190	1084	2125	2138	2806	1069
a88_gac-miR-181b-2-3p	2	0	0	3	0	0	20	0	3	0	0	0	4	79	0
a7_gac-miR-181b-1-5p	1562	1235	1383	1413	1268	1531	1207	676	753	660	75	1582	969	967	340
a6_gac-miR-181a-5p	13642	12847	15513	14998	14663	15032	10826	7444	5473	7430	4315	31860	19841	30336	11563
a23_gac-miR-181a-3-3p	482	586	373	486	200	669	466	517	252	502	646	689	724	543	725
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	56	82	120	57	45	117	14	90	31	72	0	87	75	48	1
a22_gac-miR-181a-2-3p	1830	2825	1771	1778	402	2969	1812	1377	1110	1061	474	1336	860	2277	2872
a24_gac-miR-181a-1-3p	362	349	662	277	673	496	299	195	203	126	0	501	120	399	212
a2_gac-miR-17a-5p	134	103	389	140	1010	145	0	39	62	61	102	703	219	380	0
a31_gac-miR-17a-1-3p	14	0	8	0	0	0	0	0	0	17	0	7	7	38	0
a115_gac-miR-1788-5p	11	0	0	0	0	18	0	42	0	0	0	24	0	0	0
a150_gac-miR-16c-5p	77584	159188	177129	282618	552378	198670	144971	164221	134692	523267	77685	345634	433016	271277	178808
a149_gac-miR-16a-5p_gac-miR-16c-5p	4589	8571	10973	13449	24623	9852	6531	7673	5948	22652	3811	19944	17967	13731	8108
a151_gac-miR-16a-5p	5018	5536	11377	9137	40358	6265	3712	4153	4211	14853	1381	13992	16799	12818	6874
a152_gac-miR-15c-5p	31040	65352	82425	81561	136126	58148	39935	46847	35314	150658	63535	162149	132000	115245	88489
a147_gac-miR-15b-1-5p	82	177	83	72	436	77	10	121	64	145	122	965	191	686	0
a148_gac-miR-15a-2-5p	24397	30453	48448	43951	87441	27198	15105	16738	16925	73178	14405	75384	75608	52344	16500
a225_gac-miR-155-5p	1668	296	3159	2222	6230	812	1862	2072	1175	1005	263	2243	729	1025	1311
a235_gac-miR-153c-3p	0	9	0	0	0	0	0	0	0	0	0	0	1	45	0
a16_gac-miR-152a-5p	745	1310	1058	952	1305	1410	787	524	429	952	156	1116	625	1299	811
a169_gac-miR-152a-3p	2711	3188	3859	1869	1711	1068	1863	1952	624	1729	389	2255	1541	1597	174
a29_gac-miR-150-5p	11182	30441	11188	2870	1701	4883	1657	8372	1668	6460	5177	7871	2681	16310	4507
a78_gac-miR-150-3p	32	104	36	8	0	0	0	129	4	34	0	7	6	148	0
a170_gac-miR-148a-3p	2986	3159	3537	1460	1463	1481	1659	1970	724	1350	250	1047	1034	2055	189
a183_gac-miR-146a-5p	88678	30960	61150	47960	23411	29520	47667	47591	14962	13356	10778	73128	47580	60768	37964
a53_gac-miR-146a-3p	986	463	825	545	422	684	529	332	253	371	1107	797	824	1044	324
a121_gac-miR-145-5p	2576	10378	3701	2900	3222	4400	1054	1520	1073	2141	1793	5218	5226	5694	1200
a113_gac-miR-145-3p	2286	4554	3071	3570	1264	3364	2008	3410	1204	1303	140	4043	5355	2065	2874
a48_gac-miR-144-5p	6899	7757	9329	12482	120039	8946	11862	12112	7672	19941	1668	11437	11311	56815	17416
a80_gac-miR-144-3p	562	1005	1118	426	4959	423	711	578	377	1421	503	1160	810	6405	928
a120_gac-miR-143-5p	31	60	81	16	153	29	0	0	11	16	0	60	82	40	0
a55_gac-miR-143-3p	34967	91279	57231	61569	46012	49184	52870	55918	17567	20318	9464	54550	68857	121726	112070
a66_gac-miR-142-5p	1120	333	3814	1190	6256	325	611	707	318	832	407	3156	880	3078	1230
a218_gac-miR-142-3p	240	290	1557	528	2690	139	85	356	195	449	590	1264	677	1268	136
a65_gac-miR-140-5p	110	1232	231	163	1245	211	159	308	83	161	65	387	342	652	0
a139_gac-miR-140-3p	3109	28413	4432	4659	16157	4396	4569	3099	2620	9003	3460	15812	6759	14454	5828
a180_gac-miR-139-5p	1559	1171	1241	869	777	997	877	711	384	424	1180	1863	1747	2174	601
a54_gac-miR-1388-3p	798	323	2851	4498	3930	309	931	560	529	631	143	2086	1124	1598	1516
a160_gac-miR-135c-5p	295	149	62	118	46	101	211	92	68	12	0	32	18	77	0
a162_gac-miR-135b-5p	5	31	20	17	0	67	31	0	2	82	0	9	20	30	0
a161_gac-miR-135a-1-5p	0	88	0	30	0	30	0	0	6	7	0	3	11	0	0
a246_gac-miR-133b-3p	5	124	7	57	68	110	29	1	5	5	0	9	12	137	0
a41_gac-miR-133a-5p	30	336	80	237	0	177	28	74	6	66	0	17	69	171	0
a245_gac-miR-133a-3p_gac-miR-133b-3p	23	155	3	86	0	85	0	46	7	0	0	39	18	286	0
a236_gac-miR-133a-3p	2068	27735	2135	23694	1701	25101	2408	4565	825	2392	739	2533	9469	31305	300
a64_gac-miR-130c-3p	58	0	61	22	230	35	15	0	17	30	0	97	74	119	0
a104_gac-miR-130c-2-5p	120	116	237	238	401	420	94	370	122	171	0	223	313	128	129
a30_gac-miR-130b-5p	6070	10272	9907	7363	5776	15603	6269	9948	6071	10834	6717	10406	9500	5849	6785
a62_gac-miR-130b-3p	49	50	101	48	85	28	0	131	11	66	0	191	176	118	0
a70_gac-miR-1306-5p	139	466	199	121	114	171	92	470	104	632	1252	154	210	265	130
a96_gac-miR-129-1a/2-5p	0	16	16	70	26	16	9	0	16	45	0	11	7	34	0
a117_gac-miR-128-2-5p	5	0	23	3	0	10	0	84	2	0	0	7	14	0	0
a166_gac-miR-128-2-3p	19754	31648	36262	35791	43874	27553	28870	33709	18063	78737	20053	36020	53094	26567	30399
a68_gac-miR-126b-5p	2885	3957	4937	1723	1683	3426	960	2212	877	1727	2670	5858	3931	4466	1086
a179_gac-miR-126b-3p	83994	103435	174169	89415	87671	127712	97715	120211	38703	46678	65183	170403	82745	217750	73301
a175_gac-miR-125b-2/3-5p	86821	268507	71650	86998	66031	248631	50476	81022	63185	88089	33070	49765	52828	104588	27330
a28_gac-miR-125b-2-3p	490	714	152	344	142	730	872	916	252	273	0	42	133	208	183
a176_gac-miR-125a-5p	46645	98607	48189	47063	28406	128096	52304	63802	37896	36632	43604	100264	51159	119043	65384
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	51	152	58	66	112	134	8	131	38	52	0	43	42	74	0
a129_gac-miR-124-3p	42	19	96	15	99	20	0	0	6	3	0	0	12	0	0
a123_gac-miR-122-5p	616404	483946	466665	166239	6436	149433	175020	176633	198393	88943	4982	6872	32060	31438	75676
a11_gac-miR-122-3p	2836	2132	2391	602	0	705	418	280	682	188	0	152	127	474	413
a141_gac-miR-10c-5p	3632	8566	9152	6998	1732	5928	4280	6487	1277	1771	3511	10489	4717	8896	8742
a140_gac-miR-10b-5p	31801	59112	37972	57380	27124	94933	55242	66993	28735	34197	14837	37422	65116	28155	25789
a132_gac-miR-10545-5p	19	12	0	15	38	22	17	0	6	0	0	17	4	15	66
a90_gac-miR-10545-3p	142	43	26	20	0	54	117	23	25	49	0	31	3	23	0
a37_gac-miR-103-3p	2239	3402	4296	2970	5958	2238	1807	1994	1211	3993	1389	4496	4090	3347	1818
a172_gac-miR-101b-5p	707	1076	894	796	2000	661	371	347	417	2216	838	1459	1397	2218	40
a19_gac-miR-101b-3p	170	225	308	55	274	20	35	39	48	109	0	118	73	371	0
a138_gac-miR-101a-3p	9037	15614	19973	9961	13771	6059	7531	9396	4147	28600	7721	19798	14546	15213	6053
